# Wavelength (nm)	Abs
949.99	0.01
948.96	0.01
948.05	0.01
947.02	0.01
945.98	0.01
944.94	0
944.04	0
943	0
941.96	0
941.05	0
940.01	0
938.97	0
938.06	0
937.02	0
935.98	0
934.94	0
934.02	-0.01
932.98	-0.01
931.94	-0.01
931.02	-0.01
929.98	-0.01
929.06	-0.01
928.02	-0.01
926.97	-0.01
926.05	-0.01
925.01	-0.01
923.96	-0.01
923.04	-0.01
921.99	-0.01
920.94	-0.01
920.02	-0.01
918.97	-0.01
918.05	-0.01
917	-0.01
915.94	-0.01
915.02	-0.01
913.97	0
913.05	0
911.99	0
910.94	0
910.01	0
908.96	0
908.03	0
906.97	0
906.05	0
904.99	0
904.06	0.01
903	0.01
901.94	0.01
901.02	0.01
899.95	0.01
899.03	0.02
897.96	0.02
897.03	0.02
895.97	0.03
895.04	0.03
893.98	0.03
893.04	0.04
891.98	0.04
891.05	0.04
889.98	0.05
889.05	0.05
887.98	0.06
887.04	0.06
885.98	0.07
885.04	0.07
883.97	0.08
883.03	0.08
881.96	0.09
881.03	0.09
879.96	0.1
879.02	0.1
877.95	0.11
877.01	0.11
875.93	0.12
874.99	0.12
874.05	0.12
872.98	0.13
872.04	0.13
870.96	0.13
870.02	0.13
868.94	0.13
868	0.14
867.06	0.14
865.98	0.14
865.03	0.14
863.95	0.14
863.01	0.14
862.06	0.14
860.98	0.13
860.04	0.13
858.96	0.13
858.01	0.13
857.06	0.13
855.98	0.13
855.03	0.13
853.94	0.13
853	0.14
852.05	0.14
850.96	0.14
850.01	0.15
849.06	0.15
847.97	0.16
847.02	0.16
846.07	0.17
844.98	0.18
844.03	0.19
842.94	0.2
841.98	0.22
841.03	0.23
839.94	0.25
838.98	0.27
838.03	0.29
836.93	0.31
835.98	0.34
835.02	0.36
834.06	0.39
832.97	0.43
832.01	0.47
831.05	0.51
829.96	0.56
829	0.6
828.04	0.65
826.94	0.72
825.98	0.78
825.02	0.84
824.06	0.9
822.96	0.97
822	1.06
821.04	1.14
819.93	1.24
818.97	1.32
818.01	1.41
817.04	1.5
815.94	1.6
814.98	1.67
814.01	1.75
813.05	1.88
811.94	1.93
810.98	1.99
810.01	2.12
809.04	2.2
807.94	2.19
806.97	2.23
806	2.29
805.03	2.25
804.06	2.31
802.95	2.25
801.98	2.18
801.01	2.16
800.04	2.04
798.93	1.92
797.96	1.82
796.99	1.67
796.02	1.56
795.04	1.46
793.93	1.35
792.96	1.26
791.98	1.16
791.01	1.08
790.03	1
789.06	0.93
787.94	0.85
786.97	0.79
785.99	0.73
785.02	0.69
784.04	0.64
783.06	0.6
781.94	0.56
780.97	0.52
779.99	0.49
779.01	0.46
778.03	0.43
777.05	0.41
775.93	0.38
774.95	0.37
773.97	0.35
772.99	0.34
772.01	0.32
771.03	0.31
770.04	0.3
769.06	0.29
767.94	0.28
766.95	0.27
765.97	0.27
764.99	0.27
764	0.26
763.02	0.26
762.03	0.25
761.05	0.25
760.06	0.25
758.93	0.25
757.95	0.24
756.96	0.24
755.97	0.24
754.99	0.23
754	0.23
753.01	0.23
752.02	0.22
751.03	0.22
750.04	0.21
749.05	0.21
748.06	0.21
746.93	0.2
745.94	0.2
744.95	0.2
743.96	0.19
742.96	0.19
741.97	0.19
740.98	0.19
739.99	0.18
738.99	0.18
738	0.18
737.01	0.18
736.01	0.18
735.02	0.18
734.02	0.18
733.03	0.17
732.03	0.17
731.03	0.17
730.04	0.17
729.04	0.16
728.04	0.16
727.05	0.16
726.05	0.15
725.05	0.15
724.05	0.15
723.05	0.14
722.05	0.14
721.05	0.14
720.05	0.13
719.05	0.13
718.05	0.13
717.05	0.12
716.05	0.12
715.05	0.12
714.05	0.12
713.04	0.11
712.04	0.11
711.04	0.11
710.04	0.11
709.03	0.1
708.03	0.1
707.02	0.1
706.02	0.1
705.01	0.1
704.01	0.1
703	0.1
702	0.09
700.99	0.09
699.99	0.09
698.98	0.09
697.97	0.09
696.96	0.09
695.96	0.09
694.95	0.09
693.94	0.09
692.93	0.09
692.06	0.09
691.06	0.09
690.05	0.09
689.04	0.09
688.02	0.09
687.01	0.09
686	0.09
684.99	0.08
683.98	0.08
682.97	0.08
681.95	0.08
680.94	0.08
679.93	0.08
679.06	0.08
678.05	0.08
677.03	0.08
676.02	0.08
675	0.08
673.99	0.08
672.97	0.07
671.96	0.07
670.94	0.07
670.07	0.07
669.05	0.07
668.04	0.07
667.02	0.07
666	0.07
664.99	0.07
663.97	0.07
662.95	0.07
661.93	0.07
661.06	0.07
660.04	0.07
659.02	0.07
658	0.07
656.98	0.06
655.96	0.06
654.94	0.06
654.06	0.06
653.04	0.06
652.02	0.06
651	0.06
649.97	0.06
648.95	0.06
647.93	0.06
647.05	0.06
646.03	0.06
645	0.06
643.98	0.06
642.96	0.06
641.93	0.06
641.05	0.06
640.03	0.06
639	0.06
637.98	0.06
636.95	0.07
636.07	0.07
635.04	0.07
634.02	0.07
632.99	0.07
631.96	0.07
630.93	0.07
630.05	0.07
629.02	0.07
627.99	0.07
626.97	0.08
625.94	0.08
625.05	0.08
624.02	0.08
622.99	0.08
621.96	0.09
620.93	0.09
620.05	0.09
619.02	0.1
617.98	0.1
616.95	0.1
616.07	0.11
615.04	0.11
614	0.12
612.97	0.12
611.94	0.13
611.05	0.14
610.02	0.15
608.98	0.16
607.95	0.17
607.06	0.18
606.03	0.19
604.99	0.2
603.96	0.22
603.07	0.23
602.03	0.25
601	0.27
599.96	0.3
599.07	0.32
598.03	0.35
596.99	0.37
595.96	0.4
595.07	0.42
594.03	0.44
592.99	0.47
591.95	0.49
591.06	0.51
590.02	0.53
588.98	0.54
587.94	0.56
587.05	0.57
586.01	0.57
584.97	0.58
583.93	0.58
583.04	0.58
581.99	0.58
580.95	0.58
580.06	0.57
579.02	0.57
577.97	0.56
576.93	0.55
576.04	0.55
574.99	0.54
573.95	0.53
573.06	0.53
572.01	0.52
570.97	0.52
570.07	0.51
569.03	0.51
567.98	0.51
566.94	0.51
566.04	0.51
564.99	0.51
563.95	0.51
563.05	0.51
562.01	0.51
560.96	0.51
560.06	0.52
559.01	0.52
557.97	0.52
557.07	0.53
556.02	0.53
554.97	0.54
554.07	0.54
553.02	0.55
551.97	0.55
551.07	0.56
550.02	0.56
548.97	0.57
548.07	0.58
547.02	0.58
545.97	0.59
545.07	0.59
544.02	0.6
542.97	0.61
542.07	0.61
541.02	0.61
539.96	0.62
539.06	0.63
538.01	0.63
536.96	0.64
536.05	0.64
535	0.65
533.95	0.65
533.04	0.66
531.99	0.66
530.94	0.67
530.03	0.67
528.98	0.68
528.07	0.68
527.02	0.69
525.96	0.69
525.06	0.7
524	0.7
522.95	0.7
522.04	0.71
520.98	0.71
519.93	0.71
519.02	0.72
517.96	0.72
517.06	0.72
516	0.72
514.94	0.72
514.03	0.72
512.98	0.72
512.07	0.72
511.01	0.72
509.95	0.72
509.04	0.72
507.98	0.73
507.07	0.73
506.01	0.73
504.95	0.73
504.04	0.73
502.98	0.73
502.07	0.73
501.01	0.73
499.95	0.73
499.04	0.73
497.98	0.73
497.07	0.73
496.01	0.73
494.94	0.72
494.03	0.72
492.97	0.72
492.06	0.72
491	0.72
489.93	0.71
489.02	0.71
487.96	0.7
487.04	0.7
485.98	0.69
485.07	0.68
484	0.68
482.94	0.67
482.02	0.67
480.96	0.66
480.04	0.66
478.98	0.65
478.07	0.64
477	0.64
475.93	0.63
475.02	0.63
473.95	0.62
473.04	0.62
471.97	0.61
471.05	0.61
469.99	0.6
469.07	0.6
468	0.6
466.93	0.59
466.02	0.59
464.95	0.58
464.03	0.58
462.96	0.57
462.05	0.57
460.98	0.56
460.06	0.56
458.99	0.55
458.07	0.55
457	0.54
455.93	0.54
455.01	0.53
453.94	0.53
453.02	0.52
451.95	0.52
451.03	0.52
449.96	0.51
449.04	0.51
447.97	0.51
447.05	0.5
445.98	0.5
445.06	0.5
443.98	0.49
443.06	0.49
441.99	0.49
441.07	0.49
440	0.48
439.08	0.48
438	0.48
436.93	0.48
436.01	0.47
434.93	0.47
434.01	0.47
432.93	0.47
432.01	0.47
430.94	0.48
430.02	0.48
428.94	0.48
428.02	0.48
426.94	0.49
426.02	0.49
424.94	0.5
424.02	0.51
422.94	0.52
422.02	0.52
420.94	0.53
420.02	0.55
418.94	0.56
418.01	0.58
416.94	0.59
416.01	0.61
414.93	0.63
414.01	0.64
412.93	0.66
412	0.67
410.92	0.69
410	0.71
409.07	0.73
407.99	0.75
407.07	0.77
405.99	0.8
405.06	0.83
403.98	0.86
403.06	0.88
401.97	0.91
401.05	0.93
399.97	0.95
399.04	0.97
397.96	0.99
397.03	1
395.95	1.01
395.02	1.02
393.94	1.03
393.01	1.05
391.93	1.06
391	1.07
390.07	1.08
388.99	1.1
388.06	1.11
386.98	1.12
386.05	1.13
384.96	1.15
384.04	1.16
382.95	1.17
382.02	1.19
380.94	1.2
380.01	1.22
378.92	1.24
377.99	1.26
377.06	1.28
375.98	1.3
375.05	1.32
373.96	1.35
373.03	1.38
371.94	1.41
371.01	1.43
369.93	1.45
369	1.47
368.06	1.48
366.98	1.48
366.05	1.48
364.96	1.47
364.03	1.45
362.94	1.42
362.01	1.4
361.08	1.38
359.99	1.35
359.05	1.32
357.97	1.28
357.03	1.26
355.95	1.23
355.01	1.21
353.92	1.19
352.99	1.17
352.06	1.14
350.97	1.12
350.03	1.11
348.94	1.1
348.01	1.08
347.08	1.06
345.99	1.05
345.05	1.04
343.96	1.02
343.03	1.01
341.94	0.99
341	0.98
340.07	0.97
338.97	0.96
338.04	0.94
336.95	0.93
336.01	0.91
335.08	0.9
333.98	0.89
333.05	0.87
331.96	0.85
331.02	0.83
329.93	0.82
328.99	0.8
328.05	0.79
326.96	0.77
326.03	0.76
324.93	0.75
324	0.74
323.06	0.73
321.96	0.72
321.03	0.71
319.93	0.71
319	0.71
318.06	0.71
316.96	0.71
316.03	0.71
314.93	0.71
313.99	0.71
313.05	0.72
311.96	0.72
311.02	0.73
309.93	0.73
308.99	0.74
308.05	0.74
306.95	0.75
306.01	0.75
305.07	0.75
303.98	0.75
303.04	0.76
301.94	0.77
301	0.78
300.06	0.79
298.97	0.81
298.03	0.84
296.93	0.87
295.99	0.9
295.05	0.94
293.95	1
293.01	1.07
292.07	1.13
290.97	1.18
290.03	1.2
288.93	1.22
287.99	1.25
287.05	1.29
285.95	1.35
285.01	1.38
284.07	1.42
282.97	1.44
282.03	1.46
280.93	1.47
279.99	1.48
279.05	1.49
277.95	1.49
277.01	1.49
276.06	1.49
274.96	1.49
274.02	1.49
272.92	1.49
271.98	1.48
271.04	1.48
269.94	1.47
268.99	1.47
268.05	1.46
266.95	1.45
266.01	1.44
265.06	1.44
263.96	1.41
263.02	1.39
262.07	1.38
260.97	1.37
260.03	1.37
258.93	1.35
257.98	1.33
257.04	1.3
255.94	1.28
254.99	1.27
254.05	1.25
252.95	1.24
252	1.24
251.06	1.23
249.96	1.22
