# Wavelength(nm)  CD (mdeg)
900.0000  -1.90209
899.0000  1.96067
898.0000  -15.7667
897.0000  -4.13388
896.0000  6.03112
895.0000  5.56815
894.0000  6.87444
893.0000  1.16829
892.0000  -2.8781
891.0000  -2.26871
890.0000  -10.505
889.0000  -3.90845
888.0000  -4.9027
887.0000  12.3247
886.0000  13.5209
885.0000  3.83654
884.0000  10.9606
883.0000  0.271886
882.0000  -5.00553
881.0000  4.12903
880.0000  0.742869
879.0000  0.352374
878.0000  5.85446
877.0000  -0.844731
876.0000  8.07628
875.0000  0.815105
874.0000  -10.6238
873.0000  6.75981
872.0000  9.03986
871.0000  0.0175985
870.0000  -16.8963
869.0000  -23.5922
868.0000  -14.2054
867.0000  -15.0634
866.0000  13.9181
865.0000  21.8717
864.0000  6.28069
863.0000  -7.7007
862.0000  14.2142
861.0000  20.722
860.0000  -1.41277
859.0000  -2.88147
858.0000  3.54397
857.0000  6.45376
856.0000  -10.5986
855.0000  -9.30923
854.0000  -11.8643
853.0000  -28.6123
852.0000  -3.55564
851.0000  2.62647
850.0000  6.2647
849.0000  18.1762
848.0000  5.2516
847.0000  -12.0157
846.0000  6.73034
845.0000  11.3359
844.0000  1.84819
843.0000  -10.9301
842.0000  -10.1653
841.0000  -5.68843
840.0000  -13.2275
839.0000  -8.69984
838.0000  -4.66051
837.0000  -8.63292
836.0000  -14.0454
835.0000  -21.1823
834.0000  -24.4859
833.0000  -22.3513
832.0000  -23.8271
831.0000  -26.7575
830.0000  -26.6976
829.0000  -29.4618
828.0000  -33.2635
827.0000  -32.4214
826.0000  -33.7037
825.0000  -36.4688
824.0000  -38.0718
823.0000  -39.5878
822.0000  -39.9242
821.0000  -40.5907
820.0000  -38.3824
819.0000  -32.0914
818.0000  -31.5313
817.0000  -25.3296
816.0000  -17.8187
815.0000  -5.94029
814.0000  1.65707
813.0000  1.12076
812.0000  9.49988
811.0000  13.3401
810.0000  19.6662
809.0000  22.2293
808.0000  32.0638
807.0000  33.3455
806.0000  30.1482
805.0000  32.9124
804.0000  31.3403
803.0000  22.735
802.0000  14.2809
801.0000  8.03248
800.0000  11.9423
799.0000  4.51683
798.0000  3.73584
797.0000  3.07855
796.0000  -1.26684
795.0000  -1.16702
794.0000  -1.25936
793.0000  -2.57614
792.0000  -6.03666
791.0000  -6.53679
790.0000  -2.57916
789.0000  -2.53533
788.0000  -3.49858
787.0000  -5.098
786.0000  -5.95303
785.0000  -6.80029
784.0000  -7.00542
783.0000  -5.89115
782.0000  -5.52031
781.0000  -6.49154
780.0000  -7.18304
779.0000  -6.62879
778.0000  -6.24144
777.0000  -7.31459
776.0000  -6.43803
775.0000  -6.14929
774.0000  -6.84344
773.0000  -7.21279
772.0000  -7.1753
771.0000  -7.2753
770.0000  -7.3058
769.0000  -7.35811
768.0000  -7.14695
767.0000  -8.25317
766.0000  -8.09022
765.0000  -7.95856
764.0000  -7.98624
763.0000  -7.68267
762.0000  -7.00885
761.0000  -7.27088
760.0000  -6.95896
759.0000  -6.70244
758.0000  -6.7574
757.0000  -6.52679
756.0000  -6.32003
755.0000  -6.46724
754.0000  -6.69641
753.0000  -5.7768
752.0000  -6.21535
751.0000  -6.83158
750.0000  -6.09173
749.0000  -5.71374
748.0000  -5.80542
747.0000  -5.71137
746.0000  -5.12418
745.0000  -5.28526
744.0000  -5.42157
743.0000  -4.59591
742.0000  -4.45342
741.0000  -4.65224
740.0000  -4.3583
739.0000  -4.21291
738.0000  -4.05626
737.0000  -4.21822
736.0000  -4.02376
735.0000  -3.91277
734.0000  -3.98157
733.0000  -3.89172
732.0000  -3.41362
731.0000  -3.20126
730.0000  -3.20163
729.0000  -3.04616
728.0000  -3.17474
727.0000  -3.15468
726.0000  -2.91177
725.0000  -2.72688
724.0000  -2.80225
723.0000  -2.72996
722.0000  -2.49247
721.0000  -2.30655
720.0000  -2.31366
719.0000  -2.28657
718.0000  -2.23522
717.0000  -1.85866
716.0000  -1.73357
715.0000  -2.07853
714.0000  -1.95145
713.0000  -1.5671
712.0000  -1.74032
711.0000  -1.63204
710.0000  -1.52684
709.0000  -1.62363
708.0000  -1.4579
707.0000  -1.11318
706.0000  -1.23362
705.0000  -1.1305
704.0000  -1.07366
703.0000  -1.07572
702.0000  -1.02386
701.0000  -0.855733
700.0000  -0.769829
699.0000  -0.884417
698.0000  -0.737779
697.0000  -0.534623
696.0000  -0.486684
695.0000  -0.435199
694.0000  -0.295095
693.0000  -0.239675
692.0000  -0.262096
691.0000  -0.204105
690.0000  -0.127929
689.0000  -0.0868131
688.0000  -0.0786415
687.0000  -0.0671552
686.0000  -0.0233078
685.0000  0.119289
684.0000  0.134343
683.0000  0.0295878
682.0000  0.0512062
681.0000  0.183801
680.0000  0.150362
679.0000  0.187571
678.0000  0.233843
677.0000  0.265884
676.0000  0.340351
675.0000  0.427386
674.0000  0.425931
673.0000  0.388267
672.0000  0.371469
671.0000  0.431342
670.0000  0.421628
669.0000  0.493033
668.0000  0.452164
667.0000  0.510264
666.0000  0.634701
665.0000  0.630363
664.0000  0.557545
663.0000  0.611911
662.0000  0.698988
661.0000  0.663582
660.0000  0.688177
659.0000  0.664918
658.0000  0.646998
657.0000  0.75423
656.0000  0.672923
655.0000  0.709941
654.0000  0.766136
653.0000  0.769788
652.0000  0.752637
651.0000  0.757123
650.0000  0.842506
649.0000  0.76099
648.0000  0.749356
647.0000  0.74575
646.0000  0.812073
645.0000  0.812574
644.0000  0.798137
643.0000  0.813225
642.0000  0.861852
641.0000  0.84192
640.0000  0.916681
639.0000  0.941889
638.0000  0.946674
637.0000  0.932615
636.0000  0.880376
635.0000  0.882642
634.0000  0.975881
633.0000  1.00961
632.0000  1.01352
631.0000  1.00776
630.0000  1.01085
629.0000  1.04617
628.0000  1.02883
627.0000  1.11339
626.0000  1.14338
625.0000  1.15085
624.0000  1.19808
623.0000  1.23697
622.0000  1.23095
621.0000  1.25782
620.0000  1.34197
619.0000  1.37475
618.0000  1.44492
617.0000  1.50788
616.0000  1.60947
615.0000  1.70619
614.0000  1.75339
613.0000  1.85205
612.0000  1.95338
611.0000  2.05435
610.0000  2.19922
609.0000  2.36032
608.0000  2.45065
607.0000  2.58664
606.0000  2.72486
605.0000  2.93318
604.0000  3.1472
603.0000  3.38818
602.0000  3.59699
601.0000  3.92953
600.0000  4.33706
599.0000  4.65532
598.0000  5.03441
597.0000  5.50671
596.0000  6.0364
595.0000  6.62477
594.0000  7.27103
593.0000  7.83883
592.0000  8.47098
591.0000  9.14293
590.0000  9.77341
589.0000  10.3877
588.0000  10.9446
587.0000  11.45
586.0000  11.9556
585.0000  12.359
584.0000  12.7027
583.0000  12.9601
582.0000  13.1776
581.0000  13.2857
580.0000  13.2858
579.0000  13.3347
578.0000  13.2914
577.0000  13.1733
576.0000  13.0196
575.0000  12.8696
574.0000  12.6949
573.0000  12.4969
572.0000  12.288
571.0000  12.1473
570.0000  12.0208
569.0000  11.9501
568.0000  11.8636
567.0000  11.7951
566.0000  11.7483
565.0000  11.6927
564.0000  11.6548
563.0000  11.6723
562.0000  11.6343
561.0000  11.6067
560.0000  11.5903
559.0000  11.5935
558.0000  11.6578
557.0000  11.6451
556.0000  11.5642
555.0000  11.5854
554.0000  11.5675
553.0000  11.5018
552.0000  11.4662
551.0000  11.4173
550.0000  11.3508
549.0000  11.2673
548.0000  11.1732
547.0000  11.1414
546.0000  11.064
545.0000  10.9757
544.0000  10.8779
543.0000  10.82
542.0000  10.7337
541.0000  10.5989
540.0000  10.5368
539.0000  10.4357
538.0000  10.274
537.0000  10.1095
536.0000  9.95837
535.0000  9.82826
534.0000  9.6414
533.0000  9.42309
532.0000  9.28938
531.0000  9.0935
530.0000  8.81068
529.0000  8.56526
528.0000  8.30247
527.0000  7.9718
526.0000  7.65508
525.0000  7.2796
524.0000  6.90419
523.0000  6.50961
522.0000  6.05571
521.0000  5.6457
520.0000  5.19729
519.0000  4.71248
518.0000  4.26967
517.0000  3.83673
516.0000  3.40746
515.0000  3.00262
514.0000  2.5855
513.0000  2.18768
512.0000  1.72016
511.0000  1.30255
510.0000  0.900621
509.0000  0.530653
508.0000  0.156747
507.0000  -0.194615
506.0000  -0.54856
505.0000  -0.851101
504.0000  -1.15882
503.0000  -1.49446
502.0000  -1.80395
501.0000  -2.11423
500.0000  -2.3946
499.0000  -2.70049
498.0000  -3.02082
497.0000  -3.36516
496.0000  -3.66178
495.0000  -3.98151
494.0000  -4.32344
493.0000  -4.6456
492.0000  -4.96233
491.0000  -5.29406
490.0000  -5.58473
489.0000  -5.86057
488.0000  -6.12458
487.0000  -6.38497
486.0000  -6.62522
485.0000  -6.82149
484.0000  -7.00336
483.0000  -7.16498
482.0000  -7.26691
481.0000  -7.39944
480.0000  -7.56178
479.0000  -7.64182
478.0000  -7.68319
477.0000  -7.71505
476.0000  -7.76164
475.0000  -7.81878
474.0000  -7.8481
473.0000  -7.89341
472.0000  -7.94585
471.0000  -7.94472
470.0000  -7.94783
469.0000  -7.95291
468.0000  -7.96114
467.0000  -7.97952
466.0000  -7.97847
465.0000  -7.97933
464.0000  -7.95748
463.0000  -7.94095
462.0000  -7.89531
461.0000  -7.82802
460.0000  -7.79344
459.0000  -7.75999
458.0000  -7.68208
457.0000  -7.61021
456.0000  -7.52809
455.0000  -7.41412
454.0000  -7.27374
453.0000  -7.14778
452.0000  -7.01245
451.0000  -6.87777
450.0000  -6.75973
449.0000  -6.59752
448.0000  -6.40127
447.0000  -6.25949
446.0000  -6.10108
445.0000  -5.94624
444.0000  -5.81655
443.0000  -5.67891
442.0000  -5.50181
441.0000  -5.3782
440.0000  -5.22873
439.0000  -5.04318
438.0000  -4.9026
437.0000  -4.78086
436.0000  -4.61132
435.0000  -4.4321
434.0000  -4.30489
433.0000  -4.17108
432.0000  -3.98291
431.0000  -3.87109
430.0000  -3.78056
429.0000  -3.66846
428.0000  -3.54234
427.0000  -3.48755
426.0000  -3.44407
425.0000  -3.37264
424.0000  -3.30652
423.0000  -3.25301
422.0000  -3.20186
421.0000  -3.15453
420.0000  -3.14416
419.0000  -3.11381
418.0000  -3.07429
417.0000  -3.02603
416.0000  -3.00547
415.0000  -2.98631
414.0000  -2.97685
413.0000  -2.98163
412.0000  -2.97285
411.0000  -2.99406
410.0000  -3.04632
409.0000  -3.14252
408.0000  -3.28089
407.0000  -3.44568
406.0000  -3.64937
405.0000  -3.85302
404.0000  -4.04342
403.0000  -4.13995
402.0000  -4.09344
401.0000  -3.88581
400.0000  -3.51015
399.0000  -2.95977
398.0000  -2.30384
397.0000  -1.59772
396.0000  -0.848687
395.0000  -0.138193
394.0000  0.549318
393.0000  1.11382
392.0000  1.60644
391.0000  2.0373
390.0000  2.45001
389.0000  2.74327
388.0000  2.95212
387.0000  3.18304
386.0000  3.3726
385.0000  3.4911
384.0000  3.59259
383.0000  3.72832
382.0000  3.87121
381.0000  4.01904
380.0000  4.22018
379.0000  4.48282
378.0000  4.82837
377.0000  5.28739
376.0000  5.86485
375.0000  6.59354
374.0000  7.47869
373.0000  8.56618
372.0000  9.75661
371.0000  11.0785
370.0000  12.4581
369.0000  13.8003
368.0000  15.0053
367.0000  15.9475
366.0000  16.57
365.0000  16.8615
364.0000  16.8137
363.0000  16.4153
362.0000  15.8164
361.0000  15.1086
360.0000  14.3851
359.0000  13.6559
358.0000  12.9793
357.0000  12.4362
356.0000  12.0047
355.0000  11.5897
354.0000  11.2475
353.0000  10.9322
352.0000  10.5855
351.0000  10.2508
350.0000  9.90365
