# Excitation Acquisition  
# Wavelength [nm]  Intensity
450.000  48579
451.000  49152
452.000  50573
453.000  49140
454.000  50860
455.000  50770
456.000  51333
457.000  51833
458.000  53035
459.000  53962
460.000  53501
461.000  52433
462.000  53696
463.000  55648
464.000  56029
465.000  55037
466.000  53983
467.000  55695
468.000  57177
469.000  56770
470.000  56534
471.000  55009
472.000  55651
473.000  56687
474.000  59383
475.000  56571
476.000  56939
477.000  55764
478.000  56527
479.000  55788
480.000  55732
481.000  57241
482.000  56545
483.000  57357
484.000  57699
485.000  57397
486.000  56129
487.000  56199
488.000  57359
489.000  56322
490.000  55236
491.000  54247
492.000  56650
493.000  57775
494.000  57484
495.000  56638
496.000  57474
497.000  57454
498.000  56851
499.000  57395
500.000  57350
501.000  57057
502.000  55323
503.000  57371
504.000  56725
505.000  56935
506.000  57217
507.000  56685
508.000  56392
509.000  57589
510.000  56218
511.000  56455
512.000  56333
513.000  57367
514.000  58292
515.000  57222
516.000  57645
517.000  57665
518.000  57989
519.000  58625
520.000  57825
521.000  58890
522.000  57158
523.000  58169
524.000  59430
525.000  57531
526.000  58173
527.000  59138
528.000  58739
529.000  57582
530.000  60408
531.000  58769
532.000  59823
533.000  58719
534.000  58663
535.000  60316
536.000  59085
537.000  58654
538.000  58941
539.000  58841
540.000  59300
541.000  60704
542.000  59999
543.000  61247
544.000  59836
545.000  59122
546.000  59573
547.000  60591
548.000  59493
549.000  59331
550.000  60019
551.000  60777
552.000  59804
553.000  60015
554.000  61010
555.000  61055
556.000  60362
557.000  62433
558.000  61872
559.000  60704
560.000  61153
561.000  60171
562.000  61511
563.000  61740
564.000  62310
565.000  61423
566.000  61600
567.000  63957
568.000  64747
569.000  63245
570.000  65067
571.000  66052
572.000  66425
573.000  67850
574.000  69700
575.000  68296
576.000  68252
577.000  70295
578.000  70707
579.000  71265
580.000  70142
581.000  71907
582.000  71624
583.000  71144
584.000  70880
585.000  72070
586.000  71817
587.000  69709
588.000  70208
589.000  69575
590.000  67263
591.000  65382
592.000  65045
593.000  63971
594.000  61598
595.000  60690
596.000  57570
597.000  55455
598.000  52321
599.000  49224
600.000  45328
601.000  43370
602.000  40531
603.000  38696
604.000  35727
605.000  34748
606.000  31561
607.000  29428
608.000  28179
609.000  26121
610.000  23594
611.000  22821
612.000  21396
613.000  20155
614.000  20595
615.000  19419
616.000  17825
617.000  17344
618.000  16628
619.000  16792
620.000  15605
621.000  14754
622.000  14721
623.000  14574
624.000  14493
625.000  13277
626.000  13806
627.000  12910
628.000  12321
629.000  12549
630.000  13006
631.000  12606
632.000  11738
633.000  12459
634.000  12984
635.000  12741
636.000  11440
637.000  11120
638.000  12205
639.000  12552
640.000  11890
641.000  11492
642.000  12119
643.000  12487
644.000  12834
645.000  13446
646.000  12724
647.000  12423
648.000  13782
649.000  14411
650.000  13683
651.000  14212
652.000  14036
653.000  15608
654.000  14235
655.000  13723
656.000  13611
657.000  14297
658.000  14045
659.000  13568
660.000  14266
661.000  14463
662.000  13822
663.000  14397
664.000  13843
665.000  14026
666.000  14507
667.000  14833
668.000  14747
669.000  14382
670.000  15115
671.000  15504
672.000  15272
673.000  15590
674.000  16327
675.000  16145
676.000  16095
677.000  17225
678.000  16842
679.000  16874
680.000  16294
681.000  17623
682.000  17977
683.000  18740
684.000  18727
685.000  18743
686.000  19280
687.000  19318
688.000  19829
689.000  20784
690.000  21699
691.000  21153
692.000  21845
693.000  21758
694.000  21841
695.000  22203
696.000  21902
697.000  22847
698.000  24211
699.000  23806
700.000  24372
701.000  24317
702.000  25472
703.000  25500
704.000  25768
705.000  26767
706.000  27658
707.000  28132
708.000  28526
709.000  30108
710.000  30440
711.000  32539
712.000  32321
713.000  34879
714.000  34113
715.000  34800
716.000  34834
717.000  34469
718.000  35082
719.000  34818
720.000  35622
721.000  36162
722.000  38608
723.000  37984
724.000  37496
725.000  40939
726.000  38780
727.000  41545
728.000  41735
729.000  42663
730.000  41147
731.000  41889
732.000  43305
733.000  41568
734.000  43908
735.000  44362
736.000  42401
737.000  43116
738.000  43889
739.000  44005
740.000  46503
741.000  45038
742.000  45136
743.000  47225
744.000  45393
745.000  47220
746.000  47832
747.000  46486
748.000  46188
749.000  50091
750.000  48703
751.000  50112
752.000  50697
753.000  51867
754.000  53139
755.000  53338
756.000  53880
757.000  53182
758.000  55167
759.000  55519
760.000  55877
761.000  55847
762.000  52199
763.000  53934
764.000  59992
765.000  64546
766.000  62972
767.000  63136
768.000  63068
769.000  63688
770.000  66616
771.000  66003
772.000  67207
773.000  66709
774.000  68219
775.000  68556
776.000  71674
777.000  75556
778.000  77772
779.000  74136
780.000  80538
781.000  78322
782.000  82864
783.000  81173
784.000  83821
785.000  84765
786.000  80099
787.000  79501
788.000  79570
789.000  78718
790.000  79549
791.000  76889
792.000  70364
793.000  69329
794.000  62465
795.000  56979
796.000  57419
797.000  57708
798.000  53464
799.000  48760
800.000  43998
801.000  40858
802.000  40429
803.000  39266
804.000  40272
805.000  41386
806.000  45383
807.000  44363
808.000  46551
809.000  51615
810.000  51871
811.000  50682
812.000  58604
813.000  61537
814.000  61270
815.000  70258
816.000  71575
817.000  71850
818.000  70440
819.000  73221
820.000  74332
821.000  77086
822.000  85459
823.000  97355
824.000  1.0477E5
825.000  1.0176E5
